imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
tt1080716,Karamazovi,2008,Drama,"Czech Republic, Poland, France",1000000,297455,Ceská Televize
tt1080930,Mala wielka milosc,2008,"Comedy, Romance","Poland, USA",3500000,1415232,CrossCut Films
tt10814876,7 ore per farti innamorare,2020,Comedy,Italy,1200000,3757,Italian International Film
tt10816484,18 regali,2020,Drama,Italy,2500000,3486375,Lucky Red
tt10818092,(NE) Idealnyy muzhchina,2020,"Comedy, Romance, Sci-Fi",Russia,1100000,7013247,KIT Film Studio
tt1081935,Baarìa,2009,"Comedy, Drama","Italy, France",28000000,16017513,Medusa Film
tt1082009,Joueuse,2009,Drama,"France, Germany",5000000,2458601,Mon Voisin Productions
tt1082051,"Musée haut, musée bas",2008,Comedy,France,8000000,3918768,Epithète Films
tt1082599,Stag Night,2008,"Horror, Thriller",USA,1500000,45927,FilmTiger
tt1082807,The Belko Experiment: Chi sopravviverà?,2016,"Horror, Thriller",USA,5000000,11084630,Orion Pictures
tt1082868,Quarantena,2008,"Action, Adventure, Fantasy","USA, Spain",12000000,41319906,Screen Gems
tt1082881,"Two Fists, One Heart",2008,"Action, Drama, Sport",Australia,8500000,141723,Palm Beach Pictures
tt1082886,Fa' la cosa sbagliata,2008,"Comedy, Drama, Romance","UK, USA",6000000,3175469,Occupant Entertainment
tt1083452,Eddie the Eagle - Il coraggio della follia,2015,"Biography, Comedy, Drama","UK, Germany, USA",23000000,46152800,Hurwitz Creative
tt1083456,Fired Up! - Ragazzi pon pon,2009,"Comedy, Sport",USA,20000000,18599102,Screen Gems
tt1083983,Áo lua Hà Dông,2006,Drama,Vietnam,1000000,56834,Anh Viet Company
tt1084972,Wanted,2009,"Action, Thriller",India,200000000,404099,Sahara One Motion Pictures
tt1085400,Estrellita,2007,"Drama, Music","Slovenia, Germany, Bosnia and Herzegovina, Republic of North Macedonia",1380000,69043,Vertigo
tt1085492,The Prince - Tempo di uccidere,2014,"Action, Thriller","USA, UK",18000000,1289595,Hannibal Classics
tt1085779,The Hole,2009,"Fantasy, Thriller",USA,12000000,10457002,Bold Films
tt1085799,Heya fawda,2007,"Crime, Drama, Romance","France, Egypt",2000000,144357,3B Productions
tt1086772,Insieme per forza,2014,"Comedy, Romance",USA,40000000,127994610,Gulfstream Pictures
tt1087527,Trucker,2008,Drama,USA,2000000,52429,Plum Pictures
tt1087832,Kod apokalipsisa,2007,"Action, Adventure",Russia,400000000,10446654,Alligator Reklamefilm
tt1087833,"Morgen, ihr Luschen! Der Ausbilder-Schmidt-Film",2008,"Action, Comedy",Germany,5500000,69666,Action Concept Film- und Stuntproduktion
tt1087842,Eden Log,2007,"Horror, Mystery, Sci-Fi",France,2270000,157350,Imperia Films
tt1087851,Il viaggio di Jeanne,2008,"Comedy, Drama","France, Sweden",1600000,1225808,Moteur S'il Vous Plaît
tt1087856,Hello,2008,"Drama, Romance",India,80000000,3412084,Funky Buddha Productions
